DT;VARIABLE;VALUE
2017-10-19 14:41:43;feature_16;25
2017-10-19 14:41:43;feature_17;25
2017-10-19 14:41:43;feature_18;185
2017-10-19 14:41:43;feature_19;25
2017-10-19 14:41:43;feature_20;25
2017-10-19 14:41:43;feature_21;25
2017-10-19 14:41:43;feature_22;25
2017-10-19 14:41:43;feature_24;25
2017-10-19 14:41:43;feature_25;25
2017-10-19 14:41:43;feature_26;190
2017-10-19 14:41:43;feature_27;25
2017-10-19 14:41:43;feature_28;25
2017-10-19 14:41:43;feature_29;25
2017-10-19 14:41:43;feature_30;25
2017-10-19 14:41:43;feature_31;190
2017-10-19 14:41:43;feature_32;25
2017-10-19 14:41:43;feature_33;25
2017-10-19 14:41:43;feature_35;120
2017-10-25 10:52:52;feature_3;700
2017-10-25 10:53:11;feature_6;165
2017-10-28 01:00:52;feature_6;170
2017-10-28 01:00:52;feature_9;175
2017-10-28 01:00:52;feature_15;180
2017-10-28 01:00:52;feature_1;185
2017-10-28 01:00:52;feature_23;185
2017-10-28 01:00:52;feature_2;190
2017-10-28 01:00:52;feature_34;190
2017-10-28 01:00:52;feature_36;50
2017-10-28 01:00:52;feature_3;800
2017-10-28 01:00:59;feature_4;25
2017-10-28 01:00:59;feature_5;25
2017-10-28 01:00:59;feature_7;25
2017-10-28 01:00:59;feature_8;25
2017-10-28 01:00:59;feature_10;25
2017-10-28 01:00:59;feature_11;25
2017-10-28 01:00:59;feature_12;190
2017-10-28 01:00:59;feature_13;25
2017-10-28 01:00:59;feature_14;25
2017-10-28 01:00:59;feature_16;25
2017-10-28 01:00:59;feature_17;25
2017-10-28 01:00:59;feature_18;185
2017-10-28 01:00:59;feature_19;25
2017-10-28 01:00:59;feature_20;25
2017-10-28 01:00:59;feature_21;25
2017-10-28 01:00:59;feature_22;25
2017-10-28 01:00:59;feature_24;25
2017-10-28 01:00:59;feature_25;25
2017-10-28 01:00:59;feature_26;190
2017-10-28 01:00:59;feature_27;25
2017-10-28 01:00:59;feature_28;25
2017-10-28 01:00:59;feature_29;25
2017-10-28 01:00:59;feature_30;25
2017-10-28 01:00:59;feature_31;190
2017-10-28 01:00:59;feature_32;25
2017-10-28 01:00:59;feature_33;25
2017-10-28 01:00:59;feature_35;120
2017-11-06 11:48:24;feature_1;185
2017-11-06 11:48:24;feature_2;190
2017-11-06 11:48:24;feature_3;800
2017-11-06 11:48:32;feature_4;25
2017-11-06 11:48:32;feature_5;25
2017-11-06 11:48:32;feature_6;170
2017-11-06 11:48:32;feature_7;25
2017-11-06 11:48:32;feature_8;25
2017-11-06 11:48:32;feature_9;175
2017-11-06 11:48:32;feature_10;25
2017-11-06 11:48:32;feature_11;25
2017-11-06 11:48:32;feature_12;190
2017-11-06 11:48:32;feature_13;25
2017-11-06 11:48:32;feature_14;25
2017-11-06 11:48:32;feature_15;180
2017-11-06 11:48:32;feature_16;25
2017-11-06 11:48:32;feature_17;25
2017-11-06 11:48:32;feature_18;185
2017-11-06 11:48:32;feature_19;25
2017-11-06 11:48:32;feature_20;25
2017-11-06 11:48:32;feature_21;25
2017-11-06 11:48:32;feature_22;25
2017-11-06 11:48:32;feature_23;185
2017-11-06 11:48:32;feature_24;25
2017-11-06 11:48:32;feature_25;25
2017-11-06 11:48:32;feature_26;190
2017-11-06 11:48:32;feature_27;25
2017-11-06 11:48:32;feature_28;25
2017-11-06 11:48:32;feature_29;25
2017-11-06 11:48:32;feature_30;25
2017-11-06 11:48:32;feature_31;190
2017-11-06 11:48:32;feature_32;25
2017-11-06 11:48:32;feature_33;25
2017-11-06 11:48:32;feature_34;190
